Designator,Mid X,Mid Y,Layer,Rotation
C1,61.1,43.1,T,180
C2,61.1,40.6,T,0
C3,16.9,40.5,T,270
C4,61.1,38,T,180
C5,26.5,36.9,T,180
C6,50.3,36.8,T,0
C7,61.1,36.8,T,0
C8,50.3,32.4,T,0
C9,12.7,30.5,T,0
C10,15.7,26.5,T,270
C11,17.7,26.5,T,270
C12,19.6,26.5,T,90
C13,22,26.5,T,90
C14,48.9,24.7,T,0
C15,22.6,18.6,T,90
C16,29.2,18.6,T,90
C17,59.1,14.6,T,180
D1,38.659,37.6,T,0
D2,38.659,35.1,T,0
D3,1.3,33.8,T,90
D4,38.659,31.8,T,0
D5,38.659,29.3,T,0
D6,25.8,29.2752,T,90
D7,27.3,29.2752,T,90
D8,28.8,29.2752,T,90
D9,38.659,26,T,0
D10,38.659,23.5,T,0
D11,38.659,20.1,T,0
D12,38.659,17.6,T,0
F1,68.8,42.8,T,0
F2,68.8,39.5,T,0
F3,68.6,27.7,T,0
F4,68.6,24.4,T,0
F5,68.6,21.1,T,0
F6,19.3,18.6,T,0
F7,68.6,17.8,T,0
F8,68.6,14,T,0
F9,68.6,10.6,T,0
J1,24.3,43.7,T,0
J2,40.4,43.7,T,0
J3,42.8,37.6,T,270
J4,76.1,29.4,T,90
J5,42.8,31.8,T,270
J6,42.8,26,T,270
J7,42.8,20.143,T,270
J8,76.1,11.744,T,90
J9,24.3,10.3,T,0
J10,40.4,10.3,T,0
MH1,3.6,50.4,T,0
MH2,10.6,50.4,T,0
MH3,74.4,50.4,T,0
MH4,81.4,50.4,T,0
MH5,3.6,3.6,T,0
MH6,81.4,3.6,T,0
R1,36.1,37.6,T,180
R2,36.1,35.1,T,180
R3,61.1,34.9,T,0
R4,2.7,33.3,T,90
R5,4,33.3,T,90
R6,5.2,33.3,T,270
R7,64.9,32.5,T,90
R8,12.7,31.8,T,0
R9,36.1,31.8,T,180
R10,36.1,29.3,T,180
R11,25.8,26.7,T,270
R12,27.3,26.7,T,270
R13,28.8,26.7,T,270
R14,20.8,26.5,T,90
R15,36.1,26,T,180
R16,61.1,25.6,T,0
R17,59.1,24.6,T,90
R18,36.1,23.5,T,180
R19,61.1,23.5,T,180
R20,61.1,22,T,180
R21,59.1,20.9,T,270
R22,36.1,20.1,T,180
R23,61.1,19.8,T,0
R24,36.1,17.6,T,180
R25,61.1,13.1,T,180
R26,49.1,12.7,T,180
R27,59.1,12,T,270
R28,61.1,10.9,T,0
U1,55.6,41.2008,T,90
U2,64.4,40.6,T,180
U3,12.3,33.848,T,270
U4,20,33.848,T,0
U5,55.6,33,T,270
U6,61.7,32.5,T,180
U7,64,24.6,T,0
U8,54.3,22.8,T,270
U9,64,20.9,T,0
U10,26.2,18.6,T,270
U11,54.3,12,T,270
U12,64.02,12,T,180
USB1,7.8,26.7,T,270
USB2,15,14.2,T,180
X1,16.7,23.5,T,0
